Logical-Mathematical Raw Score,Logical-Mathematical Percent,Logical-Mathematical Rank,Musical Raw Score,Musical Percent,Musical Rank,Naturalist Raw Score,Naturalist Percent,Naturalist Rank,Verbal Linguistic Raw Score,Verbal Linguistic Percent,Verbal Linguistic Rank,Interpersonal Raw Score,Interpersonal Percent,Interpersonal Rank,Bodily-Kinesthetic Raw Score,Bodily-Kinesthetic Percent,Bodily-Kinesthetic Rank,Spatial-Visual Raw Score,Spatial-Visual Percent,Spatial-Visual Rank,Intrapersonal Raw Score,Intrapersonal Percent,Intrapersonal Rank,REALISTIC Score,INVESTIGATIVE Score,ARTISTIC Score,SOCIAL Score,ENTERPRISING Score,CONVENTIONAL Score,Analytical Domain Score,Interactive Domain Score,Introspective Domain Score,Career_Singing,Career_Composing,Career_Playing Instrument,Career_Dancing,Career_General Physician,Career_Surgeon,Career_Veterinary Doctor,Career_Nurse,Career_IT,Career_Non-IT,Career_Architect,Career_Graphics,Career_Fashion Designer,"Career_Sculpture, Jwewellery, Interior Decorator","Career_Furniture, Shoe etc",Career_Operation,Career_Finance,Career_Marketing,Career_Hotel Management,Career_Teacher/ Corporate Counselor,Career_Trainer,Career_Player - Team Game,Career_Player - Individual game,Career_Coach,Career_Sports Management,Career_Journalist,Career_News Anchor/ Tv Radio Anouncer,Career_Anchor,Career_Stage/ Film Actor,Career_COMP/IT/DS/AI,Career_Mech/Civil/Mechatronic/Chemical
31,11.4,7,35,12.87,4,28,10.29,8,33,12.13,6,35,12.87,4,36,13.24,3,37,13.6,1,37,13.6,1,8.0,8.81,8.5,7.88,8.5,8.5,34.56,38.24,27.21,91.12,89.09,91.08,88.88,82.32,83.15,79.82,84.24,83.48,85.82,85.83,89.85,87.44,79.2,88.57,84.01,80.54,82.75,77.29,85.91,83.29,87.79,88.5,86.54,84.67,83.59,86.25,87.16,89.35,70.8,73.41
30,14.02,3,18,8.41,8,23,10.75,7,25,11.68,6,32,14.95,1,31,14.49,2,29,13.55,4,26,12.15,5,6.75,7.25,6.5,6.88,7.75,7.0,33.18,41.12,25.7,49.17,49.71,46.88,65.97,71.61,64.11,67.86,70.05,72.59,75.86,71.26,61.96,63.19,66.61,61.61,75.53,73.3,74.2,65.05,65.06,71.31,75.78,75.67,78.47,78.3,66.08,64.33,58.81,68.72,70.54,75.23
28,12.5,5,23,10.27,6,31,13.84,3,23,10.27,6,22,9.82,8,33,14.73,2,35,15.63,1,29,12.95,4,8.0,7.81,7.92,6.63,6.92,7.13,36.61,34.82,25.18,75.21000000000001,72.38499999999999,74.99000000000001,76.745,73.93,72.17,72.92500000000001,74.21,72.59,75.86,74.725,72.245,74.19,72.925,73.57,76.105,72.23,75.22,73.005,75.2,73.705,78.31,78.75,77.485,77.695,71.75999999999999,74.44,72.32,74.51,70.8,73.41
32,12.8,3,32,12.8,3,31,12.4,6,27,10.8,8,33,13.2,1,32,12.8,3,33,13.2,1,30,12.0,7,7.88,7.94,7.83,8.0,8.08,7.75,38.0,36.8,25.18,76.23,75.82,78.04,76.87,84.73,82.23,84.11,81.12,83.66,81.48,77.82,76.96,78.7,74.42,75.98,78.26,83.3,75.49,76.17,74.88,76.69,75.89,76.0,76.61,78.78,76.25,74.18,75.5,74.13,70.8,73.41
35,14.4,2,30,12.35,5,26,10.7,6,24,9.88,8,31,12.76,4,37,15.23,1,26,10.7,6,34,13.99,3,7.88,8.25,7.17,7.13,8.58,8.63,37.45,37.86,25.18,74.58,76.14,81.22,79.98,78.66,79.29,76.47,77.71,80.18,81.79,78.91,72.32,76.52,76.79,78.66,81.76,83.08,76.03,77.22,77.9,77.36,79.17,81.68,83.28,79.94,71.0,76.91,73.52,75.75,70.8,73.41
27,11.25,7,32,13.33,1,32,13.33,1,26,10.83,8,30,12.5,5,32,13.33,1,30,12.5,5,31,12.92,4,8.0,7.5,7.75,7.75,7.42,7.25,37.92,36.67,25.18,74.19,73.76,78.41,76.64,80.63,80.21,80.31,77.53,72.5,76.0,74.67,74.58,78.11,73.13,78.75,78.08,70.63,75.65,76.24,75.67,73.57,77.42,79.12,79.07,78.57,71.83,74.04,70.67,74.51,70.8,73.41
24,11.43,6,21,10.0,7,29,13.81,2,28,13.33,3,25,11.9,5,27,12.86,4,21,10.0,7,35,16.67,1,7.0,6.69,7.08,6.75,6.33,7.38,35.24,38.1,25.18,57.21,62.47,55.88,65.92,70.54,65.12,68.97,71.93,57.68,64.29,61.41,51.28,59.55,60.85,58.66,75.42,60.27,71.29,68.43,68.24,74.66,68.4,69.82,72.75,75.26,73.45,68.31,66.37,68.55,70.8,73.41
30,11.45,8,37,14.12,1,33,12.6,3,31,11.83,6,33,12.6,3,34,12.98,2,33,12.6,3,31,11.83,6,8.38,8.0,8.08,8.25,8.08,7.63,38.17,37.4,25.18,86.99,84.22,85.48,80.74,84.02,82.77,84.64,81.7,80.71,80.77,80.18,82.41,82.67,81.21,81.52,78.45,78.57,78.44,79.74,80.62,76.36,79.59,80.42,78.44,80.14,77.48,79.49,79.99,79.58,70.8,73.41
25,11.74,6,29,13.62,2,27,12.68,4,28,13.15,3,22,10.33,8,27,12.68,4,30,14.08,1,25,11.74,6,6.75,6.69,6.83,6.13,6.17,6.25,38.03,36.15,25.18,69.33,67.16,68.84,66.95,68.04,68.24,68.66,66.1,67.05,67.16,68.37,71.28,69.71,68.04,69.91,62.92,65.58,64.25,65.42,65.33,61.33,67.29,68.23,64.58,65.94,63.99,64.73,63.46,66.46,70.8,73.41
32,12.55,5,36,14.12,1,34,13.33,3,22,8.63,8,32,12.55,5,35,13.73,2,30,11.76,7,34,13.33,3,8.63,8.19,8.17,8.25,8.25,8.25,40.0,34.9,25.18,85.07,85.76,87.02,88.91,78.39,77.77,79.02,75.61,72.59,77.52,78.97,72.41,76.26,79.64,80.27,80.69,75.76,74.73,77.14,80.07,75.27,84.69,87.8,85.69,79.54,72.43,79.28,78.2,83.96,70.8,73.41
33,14.1,2,39,16.67,1,27,11.54,6,24,10.26,8,25,10.68,7,28,11.97,4,28,11.97,4,30,12.82,3,6.88,7.44,7.08,6.5,7.17,7.88,42.31,32.91,25.18,87.96,86.1,87.24,81.21,70.98,70.77,70.67,68.38,70.54,71.11,70.03,66.13,67.87,71.61,69.73,71.08,72.37,67.32,68.86,75.49,69.38,69.86,71.69,72.3,69.19,64.86,74.98,76.11,73.31,70.8,73.41
34,13.82,2,33,13.41,3,30,12.2,6,29,11.79,7,22,8.94,8,31,12.6,4,31,12.6,4,36,14.63,1,7.63,8.25,8.08,6.5,7.25,8.75,39.43,33.33,25.18,82.71,82.72,75.26,80.0,79.11,72.23,78.48,76.01,73.66,75.86,76.57,70.09,71.31,78.48,72.23,75.93,76.12,71.0,66.33,76.81,73.54,77.54,80.52,77.46,76.53,70.54,76.26,76.19,78.54,70.8,73.41
34,13.82,2,33,13.41,3,30,12.2,6,29,11.79,7,22,8.94,8,31,12.6,4,31,12.6,4,36,14.63,1,7.63,8.25,8.08,6.5,7.25,8.75,39.43,33.33,25.18,82.71,82.72,75.26,80.0,79.11,72.23,78.48,76.01,73.66,75.86,76.57,70.09,71.31,78.48,72.23,75.93,76.12,71.0,66.33,76.81,73.54,77.54,80.52,77.46,76.53,70.54,76.26,76.19,78.54,70.8,73.41
29,12.55,5,20,8.66,8,32,13.85,2,32,13.85,2,28,12.12,6,34,14.72,1,26,11.26,7,30,12.99,4,8.25,7.44,7.33,7.5,7.58,7.38,35.06,40.69,24.24,54.56,59.38,53.35,74.33,74.46,69.88,73.84,72.17,68.57,74.46,77.23,69.35,69.75,79.46,73.21,78.12,72.23,77.02,71.38,71.57,77.77,81.71,83.66,82.6,79.52,73.94,71.33,64.07,75.74,70.8,73.41
33,13.47,3,26,10.61,8,35,14.29,2,27,11.02,6,37,15.1,1,31,12.65,4,29,11.84,5,27,11.02,6,8.25,7.5,7.58,9.0,8.42,7.5,38.37,38.78,25.18,75.21000000000001,72.38499999999999,74.99000000000001,76.745,73.93,72.17,72.92500000000001,74.21,72.59,75.86,74.725,72.245,74.19,72.925,73.57,76.105,72.23,75.22,73.005,75.2,73.705,78.31,78.75,77.485,77.695,71.75999999999999,74.44,72.32,74.51,70.8,73.41
34,13.49,2,27,10.71,7,29,11.51,6,27,10.71,7,39,15.48,1,32,12.7,3,32,12.7,3,32,12.7,3,7.63,8.13,7.75,8.5,8.75,8.25,36.775,38.89,25.4,65.29,67.43,64.43,76.85,82.68,76.85,80.8,83.7,84.64,85.68,78.88,72.02,75.78,80.18,71.43,84.49,85.71,82.74,80.28,76.4,80.61,82.05,82.55,84.28,85.63,76.44,75.15,71.4,74.95,70.8,73.41
29,11.24,7,36,13.95,1,32,12.4,4,30,11.63,6,29,11.24,7,32,12.4,4,35,13.57,2,35,13.57,2,8.0,8.19,8.5,7.63,7.5,8.0,37.6,35.27,25.18,87.88,88.58,84.23,85.74,80.36,79.11,80.04,79.36,76.79,78.73,79.37,85.09,80.25,83.17,80.98,78.17,72.68,74.15,78.1,80.12,79.6,82.14,82.65,79.85,76.14,78.3,81.77,85.74,84.72,70.8,73.41
32,11.94,5,32,11.94,5,32,11.94,5,30,11.19,8,39,14.55,1,34,12.69,3,35,13.06,2,34,12.69,3,8.25,8.44,8.42,8.88,8.75,8.25,35.82,38.43,25.18,75.21000000000001,72.38499999999999,74.99000000000001,76.745,73.93,72.17,72.92500000000001,74.21,72.59,75.86,74.725,72.245,74.19,72.925,73.57,76.105,72.23,75.22,73.005,75.2,73.705,78.31,78.75,77.485,77.695,71.75999999999999,74.44,72.32,74.51,70.8,73.41
32,12.45,4,33,12.84,2,31,12.06,7,33,12.84,2,32,12.45,4,32,12.45,4,29,11.28,8,35,13.62,1,7.88,8.0,7.92,7.88,8.0,8.38,36.775,37.74,25.18,75.21000000000001,72.38499999999999,74.99000000000001,76.745,73.93,72.17,72.92500000000001,74.21,72.59,75.86,74.725,72.245,74.19,72.925,73.57,76.105,72.23,75.22,73.005,75.2,73.705,78.31,78.75,77.485,77.695,71.75999999999999,74.44,72.32,74.51,70.8,73.41
30,11.63,8,33,12.79,3,31,12.02,5,31,12.02,5,34,13.18,2,35,13.57,1,31,12.02,5,33,12.79,3,8.25,8.06,7.92,8.13,8.25,7.88,36.775,38.76,25.18,75.21000000000001,72.38499999999999,74.99000000000001,76.745,73.93,72.17,72.92500000000001,74.21,72.59,75.86,74.725,72.245,74.19,72.925,73.57,76.105,72.23,75.22,73.005,75.2,73.705,78.31,78.75,77.485,77.695,71.75999999999999,74.44,72.32,74.51,70.8,73.41
33,13.81,1,30,12.55,3,27,11.3,8,30,12.55,3,30,12.55,3,33,13.81,1,28,11.72,6,28,11.72,6,7.5,7.63,6.92,7.13,8.0,7.63,36.775,38.91,25.18,75.21000000000001,72.38499999999999,74.99000000000001,76.745,73.93,72.17,72.92500000000001,74.21,72.59,75.86,74.725,72.245,74.19,72.925,73.57,76.105,72.23,75.22,73.005,75.2,73.705,78.31,78.75,77.485,77.695,71.75999999999999,74.44,72.32,74.51,70.8,73.41
27,11.44,8,29,12.29,5,30,12.71,4,28,11.86,6,31,13.14,2,32,13.56,1,31,13.14,2,28,11.86,6,7.75,7.38,7.42,7.63,7.5,6.88,36.775,38.56,25.18,75.21000000000001,72.38499999999999,74.99000000000001,76.745,73.93,72.17,72.92500000000001,74.21,72.59,75.86,74.725,72.245,74.19,72.925,73.57,76.105,72.23,75.22,73.005,75.2,73.705,78.31,78.75,77.485,77.695,71.75999999999999,74.44,72.32,74.51,70.8,73.41
34,11.72,7,39,13.45,2,37,12.76,3,35,12.07,5,35,12.07,5,36,12.41,4,34,11.72,7,40,13.79,1,9.13,9.0,9.25,9.0,8.75,9.25,37.93,36.55,25.18,94.85,92.32,93.18,91.19,95.45,92.95,95.13,90.27,87.23,90.2,88.33,89.02,88.16,87.95,87.32,90.03,84.91,88.41,90.8,89.98,90.43,88.72,88.91,89.76,91.19,87.9,89.69,92.48,88.68,70.8,73.41
28,11.81,6,29,12.24,5,26,10.97,8,30,12.66,4,28,11.81,6,33,13.92,1,31,13.08,3,32,13.5,2,7.38,7.75,7.42,6.75,7.42,7.5,35.02,38.4,25.18,73.81,74.09,73.78,74.42,82.14,78.81,79.96,80.61,78.21,80.14,76.63,77.83,77.97,76.21,76.52,77.91,74.82,74.68,72.91,75.64,74.61,76.19,78.11,77.2,78.69,70.7,74.7,71.26,72.8,70.8,73.41
24,10.96,7,27,12.33,5,22,10.05,8,30,13.7,2,32,14.61,1,29,13.24,3,28,12.79,4,27,12.33,5,6.38,6.75,6.42,6.75,7.08,6.38,33.33,41.55,25.18,73.18,71.45,69.43,69.78,70.45,67.32,67.95,73.5,62.86,66.45,66.66,67.77,70.58,67.63,69.82,74.93,60.22,75.68,69.53,74.2,72.46,71.69,70.71,73.46,74.58,69.13,73.62,71.7,70.98,70.8,73.41
33,13.87,3,24,10.08,7,22,9.24,8,26,10.92,6,34,14.29,2,38,15.97,1,29,12.18,5,32,13.45,4,7.5,8.25,6.92,7.0,8.75,8.13,33.19,41.18,25.18,70.2,68.63,71.36,73.63,72.41,71.79,70.54,74.21,76.43,77.54,77.73,74.2,74.99,73.97,75.54,76.59,78.71,76.18,73.1,73.41,72.13,78.96,78.9,79.05,77.91,70.13,72.83,70.91,74.51,70.8,73.41
33,13.87,3,24,10.08,7,22,9.24,8,26,10.92,6,34,14.29,2,38,15.97,1,29,12.18,5,32,13.45,4,7.5,8.25,6.92,7.0,8.75,8.13,33.19,41.18,25.18,70.2,68.63,71.36,73.63,72.41,71.79,70.54,74.21,76.43,77.54,77.73,74.2,74.99,73.97,75.54,76.59,78.71,76.18,73.1,73.41,72.13,78.96,78.9,79.05,77.91,70.13,72.83,70.91,74.51,70.8,73.41
31,12.2,5,37,14.57,1,32,12.6,3,33,12.99,2,30,11.81,6,32,12.6,3,30,11.81,6,29,11.42,8,8.0,7.63,7.58,7.75,7.75,7.5,39.37,37.4,25.18,75.21000000000001,72.38499999999999,74.99000000000001,76.745,73.93,72.17,72.92500000000001,74.21,72.59,75.86,74.725,72.245,74.19,72.925,73.57,76.105,72.23,75.22,73.005,75.2,73.705,78.31,78.75,77.485,77.695,71.75999999999999,74.44,72.32,74.51,70.8,73.41
29,10.66,8,37,13.6,1,34,12.5,5,35,12.87,3,35,12.87,3,37,13.6,1,31,11.4,7,34,12.5,5,8.88,8.19,8.25,8.63,8.42,7.88,36.76,39.34,23.9,92.2,91.08,90.43,87.84,77.59,80.09,78.21,81.83,72.59,75.86,80.25,82.05,81.62,78.53,81.34,82.78,75.98,85.4,85.34,86.63,82.54,83.83,82.97,82.95,83.39,86.31,87.47,88.5,88.07,77.32,80.09
27,10.84,8,30,12.05,6,28,11.24,7,34,13.65,1,34,13.65,1,33,13.25,3,32,12.85,4,31,12.45,5,7.63,7.69,7.58,7.75,7.83,7.25,34.14,40.56,25.18,65.56,69.88,64.91,82.25,74.46,72.17,73.21,79.67,73.57,76.96,74.84,74.76,75.37,74.46,72.59,80.62,71.92,83.65,79.61,75.7,79.08,81.6,80.12,80.83,82.52,79.42,76.4,70.07,76.24,70.8,73.41
32,10.88,8,39,13.27,1,38,12.93,4,36,12.24,6,39,13.27,1,37,12.59,5,39,13.27,1,34,11.56,7,9.38,8.88,9.25,9.63,9.0,8.25,37.07,38.1,24.83,96.26,93.48,96.59,93.76,91.79,92.83,92.1,90.92,72.59,75.86,89.1,94.61,95.14,85.85,95.54,89.97,81.83,91.64,90.24,91.61,89.65,93.32,92.6,91.4,91.38,91.89,91.32,92.86,93.25,85.18,87.16
28,11.48,7,36,14.75,1,32,13.11,3,27,11.07,8,30,12.3,4,33,13.52,2,29,11.89,5,29,11.89,5,8.13,7.44,7.5,7.75,7.58,7.13,39.34,36.89,23.77,84.99,82.64,85.17,80.28,73.84,75.92,75.4,72.9,72.59,75.86,73.77,77.26,75.88,71.34,75.71,71.07,70.36,71.27,75.25,74.62,69.11,75.52,75.72,72.86,72.65,71.78,74.86,77.12,76.27,72.32,73.59
26,10.36,7,36,14.34,2,24,9.56,8,30,11.95,6,39,15.54,1,33,13.15,3,31,12.35,5,32,12.75,4,7.13,7.63,7.25,7.88,8.17,7.25,34.26,40.64,25.1,91.09,88.67,86.68,87.07,66.88,68.33,64.69,74.95,72.59,75.86,73.44,77.08,75.25,67.5,75.63,79.39,64.69,81.16,73.17,82.88,80.98,82.09,79.73,81.4,78.13,81.16,84.59,89.76,86.45,67.5,72.5
27,11.3,5,34,14.23,2,26,10.88,6,25,10.46,7,34,14.23,2,39,16.32,1,25,10.46,7,29,12.13,4,8.13,7.5,6.67,7.5,8.33,7.0,36.4,41.0,25.18,75.21000000000001,72.38499999999999,74.99000000000001,76.745,73.93,72.17,72.92500000000001,74.21,72.59,75.86,74.725,72.245,74.19,72.925,73.57,76.105,72.23,75.22,73.005,75.2,73.705,78.31,78.75,77.485,77.695,71.75999999999999,74.44,72.32,74.51,70.8,73.41
27,10.8,7,39,15.6,1,33,13.2,2,28,11.2,6,32,12.8,4,33,13.2,2,31,12.4,5,27,10.8,7,8.25,7.38,7.58,8.13,7.67,6.75,39.6,37.2,25.18,89.05,85.62,88.21,84.59,79.38,78.33,79.06,76.84,70.0,73.38,75.02,75.83,77.56,73.75,78.13,77.4,69.06,76.25,79.53,78.55,71.42,79.18,78.66,78.5,78.89,72.08,78.47,77.92,80.09,70.8,73.41
28,12.12,5,34,14.72,3,20,8.66,8,23,9.96,7,36,15.58,1,35,15.15,2,26,11.26,6,29,12.55,4,6.88,7.38,6.25,7.0,8.25,7.13,35.5,40.69,23.81,84.86,79.58,76.14,82.76,61.43,57.26,57.68,65.57,72.59,75.86,71.84,64.94,62.9,65.8,63.93,73.59,68.84,72.94,61.54,75.18,68.02,78.59,77.78,79.18,74.65,64.0,75.66,76.43,80.77,65.89,71.8
27,13.43,2,22,10.95,7,25,12.44,5,26,12.94,3,29,14.43,1,25,12.44,5,26,12.94,3,21,10.45,8,6.25,6.19,6.0,6.75,6.75,6.0,36.82,39.8,25.18,55.37,56.2,57.76,60.66,67.77,65.89,66.83,66.0,61.34,65.02,64.59,63.66,65.01,67.14,65.27,64.97,60.13,63.81,66.9,61.49,64.48,64.95,66.74,65.39,67.49,65.66,60.27,58.37,62.25,70.8,73.41
26,11.45,5,25,11.01,6,24,10.57,8,25,11.01,6,33,14.54,1,32,14.1,3,33,14.54,1,29,12.78,4,7.0,7.5,7.17,7.13,7.58,6.88,33.04,39.65,27.31,55.4,61.35,64.43,76.3,68.13,70.83,67.5,71.83,67.5,71.5,73.67,78.96,77.88,74.69,80.0,71.28,64.06,70.3,73.38,65.84,69.11,78.83,80.31,75.61,72.19,71.32,65.65,59.59,70.38,70.8,73.41
29,11.11,7,31,11.88,5,37,14.18,1,29,11.11,7,35,13.41,2,35,13.41,2,34,13.03,4,31,11.88,5,9.0,8.06,8.5,9.0,8.25,7.5,37.16,37.93,25.18,79.17,75.75,78.35,82.32,80.27,80.89,82.14,78.43,78.21,80.14,79.45,82.41,82.87,83.08,82.14,80.18,75.76,84.31,86.31,80.65,77.16,85.97,85.24,84.41,82.14,77.45,79.45,76.9,82.67,70.8,73.41
30,12.35,5,29,11.93,6,31,12.76,3,27,11.11,7,32,13.17,2,36,14.81,1,31,12.76,3,27,11.11,7,8.38,7.75,7.42,7.88,8.17,7.13,37.04,39.09,25.18,80.65,71.99,76.59,73.61,79.55,76.64,79.24,74.36,77.14,78.93,76.13,74.94,75.93,70.8,73.93,74.04,76.34,76.53,72.53,75.22,71.08,78.36,78.6,77.58,79.46,71.88,73.11,75.22,77.36,70.8,73.41
29,13.55,1,29,13.55,1,26,12.15,5,25,11.68,7,23,10.75,8,26,12.15,5,28,13.08,3,28,13.08,3,6.5,6.94,6.83,6.13,6.5,7.13,39.25,34.58,25.18,53.81,60.53,54.09,69.55,70.27,63.6,69.33,68.79,71.34,70.77,69.86,63.24,63.14,75.27,62.14,66.09,74.2,61.44,61.96,60.04,64.02,66.12,68.8,65.77,67.15,63.5,59.27,53.79,61.03,70.8,73.41
34,11.33,8,40,13.33,1,36,12.0,6,36,12.0,6,38,12.67,4,38,12.67,4,39,13.0,2,39,13.0,2,9.25,9.38,9.5,9.25,9.17,9.13,36.67,37.33,26.0,96.81,95.21,97.22,95.67,89.29,91.16,88.97,89.92,72.59,75.86,91.64,96.7,94.27,87.72,95.54,90.08,85.58,90.69,89.89,91.6,90.89,94.12,92.93,91.89,90.28,92.85,92.51,95.35,95.23,87.68,88.91
33,11.7,6,37,13.12,2,36,12.77,5,31,10.99,8,37,13.12,2,37,13.12,2,38,13.48,1,33,11.7,6,9.13,8.81,8.92,9.13,8.92,8.25,37.59,37.23,25.18,92.22,88.68,94.46,89.21,89.29,90.95,89.6,87.61,72.59,75.86,89.37,93.99,92.39,88.35,92.41,87.21,85.89,87.98,91.09,87.56,84.49,89.83,88.74,88.66,87.75,85.67,87.0,88.18,88.92,88.3,88.54
21,9.17,8,39,17.03,1,24,10.48,7,31,13.54,2,29,12.66,3,29,12.66,3,28,12.23,5,28,12.23,5,6.63,6.63,6.67,6.63,6.58,6.13,36.68,38.86,25.18,75.21000000000001,72.38499999999999,74.99000000000001,76.745,73.93,72.17,72.92500000000001,74.21,72.59,75.86,74.725,72.245,74.19,72.925,73.57,76.105,72.23,75.22,73.005,75.2,73.705,78.31,78.75,77.485,77.695,71.75999999999999,74.44,72.32,74.51,70.8,73.41
29,11.89,5,27,11.07,7,34,13.93,1,27,11.07,7,34,13.93,1,33,13.52,3,28,11.48,6,32,13.11,4,8.38,7.63,7.83,8.5,8.0,7.63,36.89,38.52,25.18,67.11,69.25,68.75,77.08,80.09,78.42,81.03,79.58,74.82,78.84,71.82,69.76,74.25,72.59,70.71,81.09,72.23,81.38,81.53,76.4,77.65,78.82,79.52,81.24,81.72,74.45,75.15,70.15,73.2,70.8,73.41
32,12.9,4,35,14.11,1,29,11.69,6,31,12.5,5,33,13.31,2,27,10.89,8,28,11.29,7,33,13.31,2,7.0,7.5,7.5,7.75,7.67,8.13,38.71,36.69,24.6,86.36,85.04,83.64,78.66,74.73,73.9,74.42,77.49,74.29,74.86,74.51,69.88,74.13,76.61,74.11,79.08,76.43,79.21,76.8,81.92,77.26,75.22,75.81,77.51,78.34,76.58,81.05,80.67,78.54,70.8,73.41
30,13.57,3,25,11.31,6,21,9.5,8,25,11.31,6,28,12.67,4,32,14.48,1,32,14.48,1,28,12.67,4,6.63,7.63,6.75,6.13,7.5,7.25,34.39,38.46,27.15,68.23,66.32,64.83,70.45,68.04,64.7,65.54,68.39,72.59,75.86,73.06,72.11,68.81,69.29,69.29,69.66,70.27,67.99,60.5,68.34,68.23,74.3,75.26,73.4,71.05,65.35,68.01,68.34,71.85,70.8,73.41
30,13.57,3,25,11.31,6,21,9.5,8,25,11.31,6,28,12.67,4,32,14.48,1,32,14.48,1,28,12.67,4,6.63,7.63,6.75,6.13,7.5,7.25,34.39,38.46,27.15,68.23,66.32,64.83,70.45,68.04,64.7,65.54,68.39,72.59,75.86,73.06,72.11,68.81,69.29,69.29,69.66,70.27,67.99,60.5,68.34,68.23,74.3,75.26,73.4,71.05,65.35,68.01,68.34,71.85,70.8,73.41
29,13.88,2,26,12.44,4,22,10.53,7,22,10.53,7,29,13.88,2,33,15.79,1,24,11.48,5,24,11.48,5,6.88,6.88,5.83,6.38,7.58,6.63,36.84,40.19,22.97,67.64,65.33,65.74,71.59,64.55,61.22,61.74,64.76,72.59,75.86,69.26,61.4,62.03,64.55,62.68,68.89,69.46,66.49,62.01,66.69,65.1,72.24,73.95,73.26,71.8,63.8,65.97,65.44,71.53,66.52,71.43
26,10.92,7,33,13.87,3,25,10.5,8,28,11.76,5,34,14.29,2,36,15.13,1,29,12.18,4,27,11.34,6,7.63,7.38,6.75,7.38,8.0,6.63,35.29,41.18,25.18,85.41,82.56,81.14,83.25,74.64,70.48,72.14,74.26,65.09,72.77,74.61,70.74,71.55,72.77,73.39,77.67,65.45,74.83,72.18,77.77,74.36,79.91,80.88,80.36,79.78,72.56,77.58,79.02,80.68,70.8,73.41
26,12.21,6,30,14.08,2,17,7.98,8,32,15.02,1,28,13.15,4,28,13.15,4,22,10.33,7,30,14.08,2,5.63,6.63,5.75,5.63,6.83,7.0,34.27,41.31,24.41,71.43,70.01,63.69,72.45,61.88,56.25,57.5,65.56,63.13,67.0,63.71,53.75,55.95,59.06,55.0,72.79,66.56,74.67,58.39,73.02,71.63,66.16,65.31,71.8,73.21,63.75,72.88,68.02,67.57,70.8,73.41
29,11.98,5,34,14.05,2,32,13.22,3,26,10.74,7,29,11.98,5,36,14.88,1,32,13.22,3,24,9.92,8,8.5,7.56,7.33,7.63,7.83,6.63,39.26,37.6,23.14,75.45,71.53,82.73,78.02,74.02,79.23,75.27,72.72,72.59,75.86,75.86,83.24,82.0,72.46,82.14,70.02,68.26,73.53,79.55,71.85,65.23,78.27,79.34,74.73,75.26,70.93,70.12,66.85,74.16,73.21,76.52
34,12.06,5,34,12.06,5,38,13.48,1,33,11.7,7,32,11.35,8,38,13.48,1,37,13.12,3,36,12.77,4,9.5,9.06,9.25,8.75,8.67,8.75,37.59,36.52,25.89,81.88,82.6,87.05,88.75,86.79,90.33,88.35,86.68,72.59,75.86,88.93,93.99,92.79,88.35,93.04,84.06,85.58,85.59,90.11,83.94,85.61,90.69,91.75,87.28,86.44,89.91,83.46,83.94,87.12,88.3,88.91
20,9.43,7,28,13.21,3,19,8.96,8,27,12.74,5,34,16.04,1,28,13.21,3,30,14.15,2,26,12.26,6,5.88,6.5,6.25,6.63,6.83,5.75,31.6,41.98,26.42,66.83,68.67,58.75,75.2,58.66,54.7,56.16,66.12,72.59,75.86,58.52,60.86,59.31,54.6,55.54,68.5,51.83,69.64,60.59,67.02,68.58,71.25,69.12,69.92,68.8,66.48,69.33,69.52,70.55,56.43,62.66
31,11.97,6,33,12.74,3,34,13.13,1,32,12.36,5,34,13.13,1,33,12.74,3,31,11.97,6,31,11.97,6,8.38,7.88,8.0,8.5,8.17,7.75,37.84,38.22,25.18,75.21000000000001,72.38499999999999,74.99000000000001,76.745,73.93,72.17,72.92500000000001,74.21,72.59,75.86,74.725,72.245,74.19,72.925,73.57,76.105,72.23,75.22,73.005,75.2,73.705,78.31,78.75,77.485,77.695,71.75999999999999,74.44,72.32,74.51,70.8,73.41
32,11.9,7,34,12.64,3,31,11.52,8,33,12.27,5,36,13.38,1,36,13.38,1,34,12.64,3,33,12.27,5,8.38,8.44,8.17,8.38,8.67,8.13,36.06,39.03,25.18,76.47,78.84,81.68,86.35,86.52,86.52,85.89,85.29,80.71,83.52,82.8,84.91,86.19,83.71,86.52,85.36,77.95,85.0,85.85,82.2,86.86,84.67,85.44,85.69,85.85,84.34,81.21,79.07,79.07,70.8,73.41
